id,latitude,longitude
35211648,43.8184299929,-79.6975283371
35201326,43.6409100243,-79.4435466663
35210701,43.5738719701,-79.6704619203
35204443,43.6907983228,-79.497914032
35201828,43.7253314189,-79.5626994952
35210973,43.6130985453,-79.5930254567
35201604,43.601784218,-79.5521657346
35211828,43.593292115,-79.6309440874
35201622,43.6425116559,-79.5840919248
35212135,43.7622313153,-79.6868612599
35190294,43.8155492626,-79.4467205947
35203143,43.6420053199,-79.4920556504
35204024,43.6363600511,-79.4292326994
35204699,43.6020043192,-79.5089328743
35201541,43.609421656,-79.4929155821
35210685,43.585005856,-79.6753313944
35201156,43.6761686994,-79.4335474844
35204100,43.646962757,-79.528139771
35203095,43.7197604345,-79.586173456
35211025,43.6157590082,-79.6526558039
35190354,43.7904771612,-79.4649469072
35210812,43.5864378986,-79.6154766684
35211108,43.729616296,-79.6270012713
35204426,43.7025544541,-79.5257561379
35201360,43.6547732447,-79.4550566826
35203841,43.6586955773,-79.4357490135
35202225,43.6978896431,-79.4420254383
35190367,43.7989940443,-79.4329551838
35211103,43.7343803736,-79.6387494668
35201658,43.6379036777,-79.5451155687
35201848,43.7270130379,-79.5671216401
35201582,43.5869328884,-79.5412152046
35211086,43.7140537167,-79.6436827867
35201157,43.6756307075,-79.4317769313
35210652,43.5752598036,-79.6743042393
35211463,43.5798121037,-79.6459948284
35211929,43.5971483825,-79.7079818011
35211945,43.6069142804,-79.6432960547
35202175,43.73131204,-79.4955559294
35204555,43.6861215967,-79.4565262837
35202005,43.7584668095,-79.4987772847
35201391,43.6747626781,-79.4847308231
35211338,43.6199628277,-79.5854807498
35201383,43.6758530784,-79.4772377196
35202385,43.7228086727,-79.4211178498
35201670,43.6037818218,-79.516005425
35200954,43.6584094819,-79.448846598
35211073,43.7271045654,-79.6438121599
35201004,43.6613398438,-79.4389763198
35202217,43.697001263,-79.4522290888
35201598,43.6106460754,-79.5430844413
35203064,43.7443411217,-79.5904342535
35210782,43.5949651127,-79.6090918603
35190272,43.8025679808,-79.4794806687
35204766,43.7101646479,-79.4806039718
35212119,43.6165535735,-79.5822430982
35204063,43.6854838389,-79.5182888542
35204399,43.7075575744,-79.4938437269
35202141,43.7255233814,-79.452575872
35204488,43.7032947841,-79.4403010697
35201497,43.6507082523,-79.5041361666
35204529,43.6835030405,-79.4292298935
35201152,43.6779338535,-79.4406450618
35211823,43.5929263229,-79.6730389861
35210657,43.5817175709,-79.6800570558
35210656,43.5810050755,-79.6780609883
35211109,43.7309782236,-79.6300502697
35201599,43.6083223947,-79.5424505838
35201564,43.5985712725,-79.521332447
35201293,43.6601756329,-79.4722216545
35201423,43.651169966,-79.4235022919
35204232,43.6894651547,-79.5089999606
35204476,43.7215431764,-79.6175687108
35201422,43.6528849771,-79.42407544
35204633,43.6696718839,-79.4484794521
35201291,43.6629927985,-79.4757443846
35204522,43.6805551908,-79.4425221346
35202151,43.7264771126,-79.439227291
35190200,43.7840950086,-79.6190189907
35204802,43.7333592013,-79.4365991419
35204167,43.746529951,-79.5055999483
35200924,43.6550137861,-79.4263006257
35203045,43.7559098229,-79.5980589189
35202045,43.7607988373,-79.5177044784
35200933,43.648609116,-79.4302720831
35202889,43.6972156461,-79.4255134242
35204156,43.6613691881,-79.4197586731
35202570,43.7630988405,-79.4459921319
35200998,43.6673838779,-79.435117284
35190253,43.7899868561,-79.5592077545
35202135,43.7219992857,-79.4406555776
35201498,43.6547897378,-79.5063571618
35211069,43.7286685758,-79.63469211
35201404,43.6566893984,-79.4586556477
35190327,43.8030498324,-79.4303943705
35210338,43.6027205621,-79.5924573331
35190189,43.8064667142,-79.6093759056
35201706,43.6627058032,-79.5505370162
35201170,43.6731026979,-79.4587280573
35211114,43.7223111343,-79.6244114325
35200964,43.6642802444,-79.4466454601
35210115,43.6968795682,-79.6924061256
35204629,43.6716430674,-79.4403440274
35202072,43.7414986058,-79.5176030254
35200963,43.6639381824,-79.4484311875
35204012,43.6794480117,-79.4530705044
35201827,43.7229884551,-79.561484634
35191100,43.7905608312,-79.5528408852
35204803,43.7304023406,-79.4395300993
35201205,43.6897831471,-79.472331981
35201107,43.6827080702,-79.4189060164
35210929,43.5780614157,-79.7053554494
35202555,43.7702283427,-79.4509770114
35201395,43.6884685321,-79.4753326968
35204318,43.7747712784,-79.426760348
35212063,43.7831323678,-79.7307171106
35201665,43.6286695543,-79.5236187322
35211422,43.6159245123,-79.5896824102
35202211,43.6948431771,-79.4687755986
35211815,43.6043346089,-79.6927465831
35211011,43.6262237985,-79.5940348625
35190306,43.8144231519,-79.4410433343
35201607,43.6315960451,-79.5602989416
35203074,43.7274647759,-79.5951249966
35204549,43.6916526157,-79.4589960188
35202237,43.6956774686,-79.4437643695
35210972,43.614434958,-79.5952651898
35201905,43.7402551329,-79.5388302028
35204631,43.6708318861,-79.4443656396
35211090,43.712511573,-79.6483780546
35190288,43.8202393646,-79.467058908
35204801,43.7305829199,-79.4422188726
35202941,43.7088745165,-79.4190367594
35211440,43.5903494699,-79.6215686444
35201841,43.7251225923,-79.5699294984
35204514,43.6872707004,-79.4340672054
35200916,43.6576796176,-79.4175253524
35211474,43.6076893461,-79.5895534771
35200985,43.671105203,-79.4240576967
35211924,43.6040628575,-79.7016190142
35203009,43.6706444592,-79.550960762
35201856,43.7387074813,-79.5837086443
35203087,43.7336649541,-79.6206086481
35211071,43.728245721,-79.6406549066
35211819,43.6002286656,-79.6842355852
35201970,43.7372350161,-79.5075624798
35201602,43.6059825586,-79.5491550655
35204761,43.6207191748,-79.5065993329
